               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11653,            0.045338,            0.048302,           0.0034927,             0.32295,           0.0038983,          0.00085663,             0.10521,            0.031782,             0.04904,              0.0955,              0.0005,              0.0005
                   1,             0.10028,            0.059975,            0.045522,           0.0055629,             0.52031,            0.013255,           0.0030772,            0.082982,            0.035037,            0.045011,            0.090096,           0.0010964,           0.0010964
                   2,             0.08675,            0.057371,            0.044442,           0.0083417,             0.80461,            0.075804,            0.019321,            0.070622,            0.035454,            0.039559,            0.084689,           0.0016888,           0.0016888
                   3,              0.0767,            0.063357,            0.040352,              0.1573,             0.31584,             0.15099,            0.046588,            0.062148,            0.035034,            0.035189,            0.079277,           0.0022772,           0.0022772
                   4,            0.071396,            0.061562,            0.036601,             0.44087,             0.34996,             0.25247,            0.088991,            0.058913,            0.043509,            0.032485,            0.073862,           0.0028617,           0.0028617
                   5,            0.065616,            0.054165,            0.035607,             0.45894,             0.33942,             0.26255,             0.11189,            0.056145,            0.039142,            0.030371,            0.068442,           0.0034422,           0.0034422
                   6,              0.0636,            0.050084,            0.033147,             0.47023,             0.37407,             0.24626,            0.098124,            0.063551,            0.032992,            0.028721,            0.063019,           0.0040188,           0.0040188
                   7,            0.063216,             0.05207,            0.030477,             0.44436,             0.37948,             0.25049,             0.10243,             0.05868,            0.029658,            0.027026,            0.057591,           0.0045914,           0.0045914
                   8,            0.061387,            0.042239,            0.029479,             0.47329,              0.3981,             0.29479,             0.10683,            0.057715,            0.024563,             0.02602,             0.05216,           0.0051601,           0.0051601
                   9,            0.060995,            0.042866,             0.03077,             0.44887,               0.442,             0.30466,             0.10463,            0.056421,            0.023708,            0.025523,            0.046725,           0.0057248,           0.0057248
                  10,            0.061562,            0.044207,            0.028074,             0.16865,             0.57647,             0.27138,              0.1215,            0.059687,            0.021728,            0.024849,            0.041285,           0.0062855,           0.0062855
                  11,            0.066338,            0.043729,            0.027538,             0.28051,              0.6687,              0.3951,             0.14826,            0.052526,             0.02161,            0.024289,            0.035842,           0.0068423,           0.0068423
                  12,            0.062065,            0.044917,            0.027342,             0.18467,             0.56058,              0.2743,             0.11641,            0.062191,            0.019856,            0.023186,            0.030395,           0.0073951,           0.0073951
                  13,            0.062758,            0.036638,            0.027023,             0.22653,             0.55852,             0.28465,            0.090927,            0.052762,             0.01957,            0.023208,            0.024944,           0.0079439,           0.0079439
                  14,            0.056742,            0.038247,             0.02459,             0.31466,             0.59609,             0.38963,             0.16063,            0.060776,            0.018207,            0.021059,            0.019489,           0.0084888,           0.0084888
                  15,            0.061618,             0.03428,            0.022848,             0.45498,             0.59372,             0.52489,             0.19193,            0.051571,            0.018273,            0.019809,             0.01403,           0.0090297,           0.0090297
                  16,            0.059471,            0.035685,            0.022381,             0.63684,             0.50723,             0.52575,             0.22119,            0.059812,            0.018921,            0.017656,            0.009472,            0.009472,            0.009472
                  17,            0.059874,            0.034441,            0.021007,             0.43226,              0.6285,             0.55718,             0.27086,            0.051706,            0.016922,            0.015873,            0.009472,            0.009472,            0.009472
                  18,             0.05756,             0.03393,            0.020709,             0.43274,             0.69385,             0.58043,             0.30039,            0.049475,            0.017186,            0.014113,            0.009439,            0.009439,            0.009439
                  19,            0.054992,            0.036645,            0.017964,             0.46918,             0.77152,             0.63468,             0.28338,            0.046023,            0.017459,            0.012897,            0.009406,            0.009406,            0.009406
                  20,            0.052634,            0.037497,            0.015949,             0.40559,             0.64922,             0.48533,             0.23438,            0.051516,            0.020853,            0.013892,            0.009373,            0.009373,            0.009373
                  21,             0.05219,            0.038339,            0.014586,             0.50937,             0.83129,             0.69629,              0.3109,            0.046923,            0.017665,           0.0095289,             0.00934,             0.00934,             0.00934
                  22,            0.050151,             0.03284,            0.013393,             0.46578,              0.8157,             0.66914,             0.30078,            0.044767,            0.018875,           0.0091909,            0.009307,            0.009307,            0.009307
                  23,            0.047035,            0.032706,            0.012546,             0.56999,             0.78604,             0.74474,             0.38658,             0.04965,            0.018184,            0.011308,            0.009274,            0.009274,            0.009274
                  24,            0.048672,            0.032453,            0.011097,             0.72166,             0.78514,             0.87038,             0.39387,            0.046596,            0.016313,           0.0065642,            0.009241,            0.009241,            0.009241
                  25,            0.046691,            0.032707,             0.01173,             0.50138,             0.84209,             0.77213,             0.43162,            0.047725,            0.017125,            0.008032,            0.009208,            0.009208,            0.009208
